# ----------------------------------------,,,,,,,,,
# jbdon,,,,,,,,,
# Channels,,,,,,,,,
# 20180831-20190831,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Keyword,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Contact From Good Lead (Goal 1 Conversion Rate),Contact From Good Lead (Goal 1 Completions),Contact From Good Lead (Goal 1 Value)
(not provided),615,591,727,35.90%,1.75,00:01:42,0.00%,0,£0.00
amazon,3,3,3,100.00%,1,00:00:00,0.00%,0,£0.00
(not set),1,1,1,100.00%,1,00:00:00,0.00%,0,£0.00
jbdon,1,1,1,0.00%,2,00:11:37,0.00%,0,£0.00
jbdon london,1,1,1,0.00%,1,00:05:27,0.00%,0,£0.00
,622,598,734,36.10%,1.75,00:01:43,0.00%,0,£0.00
,,,,,,,,,
Day Index,Users,,,,,,,,
1/15/19,4,,,,,,,,
1/16/19,1,,,,,,,,
1/17/19,2,,,,,,,,
1/18/19,0,,,,,,,,
1/19/19,0,,,,,,,,
1/20/19,0,,,,,,,,
1/21/19,2,,,,,,,,
1/22/19,0,,,,,,,,
1/23/19,6,,,,,,,,
1/24/19,3,,,,,,,,
1/25/19,1,,,,,,,,
1/26/19,1,,,,,,,,
1/27/19,1,,,,,,,,
1/28/19,0,,,,,,,,
1/29/19,1,,,,,,,,
1/30/19,2,,,,,,,,
1/31/19,2,,,,,,,,
02-01-2019,0,,,,,,,,
02-02-2019,0,,,,,,,,
02-03-2019,0,,,,,,,,
02-04-2019,2,,,,,,,,
02-05-2019,3,,,,,,,,
02-06-2019,1,,,,,,,,
02-07-2019,3,,,,,,,,
02-08-2019,2,,,,,,,,
02-09-2019,0,,,,,,,,
02-10-2019,0,,,,,,,,
02-11-2019,1,,,,,,,,
02-12-2019,3,,,,,,,,
2/13/19,3,,,,,,,,
2/14/19,0,,,,,,,,
2/15/19,0,,,,,,,,
2/16/19,1,,,,,,,,
2/17/19,0,,,,,,,,
2/18/19,2,,,,,,,,
2/19/19,1,,,,,,,,
2/20/19,1,,,,,,,,
2/21/19,2,,,,,,,,
2/22/19,2,,,,,,,,
2/23/19,0,,,,,,,,
2/24/19,0,,,,,,,,
2/25/19,0,,,,,,,,
2/26/19,2,,,,,,,,
2/27/19,2,,,,,,,,
2/28/19,1,,,,,,,,
03-01-2019,1,,,,,,,,
03-02-2019,2,,,,,,,,
03-03-2019,1,,,,,,,,
03-04-2019,1,,,,,,,,
03-05-2019,2,,,,,,,,
03-06-2019,4,,,,,,,,
03-07-2019,4,,,,,,,,
03-08-2019,2,,,,,,,,
03-09-2019,0,,,,,,,,
03-10-2019,1,,,,,,,,
03-11-2019,0,,,,,,,,
03-12-2019,3,,,,,,,,
3/13/19,2,,,,,,,,
3/14/19,2,,,,,,,,
3/15/19,0,,,,,,,,
3/16/19,2,,,,,,,,
3/17/19,2,,,,,,,,
3/18/19,2,,,,,,,,
3/19/19,1,,,,,,,,
3/20/19,5,,,,,,,,
3/21/19,0,,,,,,,,
3/22/19,1,,,,,,,,
3/23/19,1,,,,,,,,
3/24/19,0,,,,,,,,
3/25/19,0,,,,,,,,
3/26/19,2,,,,,,,,
3/27/19,5,,,,,,,,
3/28/19,3,,,,,,,,
3/29/19,1,,,,,,,,
3/30/19,1,,,,,,,,
3/31/19,0,,,,,,,,
04-01-2019,2,,,,,,,,
04-02-2019,0,,,,,,,,
04-03-2019,3,,,,,,,,
04-04-2019,5,,,,,,,,
04-05-2019,1,,,,,,,,
04-06-2019,1,,,,,,,,
04-07-2019,3,,,,,,,,
04-08-2019,1,,,,,,,,
04-09-2019,3,,,,,,,,
04-10-2019,3,,,,,,,,
04-11-2019,3,,,,,,,,
04-12-2019,2,,,,,,,,
4/13/19,0,,,,,,,,
4/14/19,1,,,,,,,,
4/15/19,2,,,,,,,,
4/16/19,0,,,,,,,,
4/17/19,1,,,,,,,,
4/18/19,1,,,,,,,,
4/19/19,3,,,,,,,,
4/20/19,2,,,,,,,,
4/21/19,1,,,,,,,,
4/22/19,3,,,,,,,,
4/23/19,3,,,,,,,,
4/24/19,1,,,,,,,,
4/25/19,3,,,,,,,,
4/26/19,1,,,,,,,,
4/27/19,0,,,,,,,,
4/28/19,2,,,,,,,,
4/29/19,4,,,,,,,,
4/30/19,1,,,,,,,,
05-01-2019,2,,,,,,,,
05-02-2019,4,,,,,,,,
05-03-2019,3,,,,,,,,
05-04-2019,0,,,,,,,,
05-05-2019,0,,,,,,,,
05-06-2019,1,,,,,,,,
05-07-2019,2,,,,,,,,
05-08-2019,1,,,,,,,,
05-09-2019,3,,,,,,,,
05-10-2019,3,,,,,,,,
05-11-2019,0,,,,,,,,
05-12-2019,0,,,,,,,,
5/13/19,2,,,,,,,,
5/14/19,2,,,,,,,,
5/15/19,2,,,,,,,,
5/16/19,4,,,,,,,,
5/17/19,3,,,,,,,,
5/18/19,0,,,,,,,,
5/19/19,0,,,,,,,,
5/20/19,2,,,,,,,,
5/21/19,3,,,,,,,,
5/22/19,1,,,,,,,,
5/23/19,3,,,,,,,,
5/24/19,5,,,,,,,,
5/25/19,1,,,,,,,,
5/26/19,1,,,,,,,,
5/27/19,1,,,,,,,,
5/28/19,3,,,,,,,,
5/29/19,2,,,,,,,,
5/30/19,6,,,,,,,,
5/31/19,3,,,,,,,,
06-01-2019,0,,,,,,,,
06-02-2019,0,,,,,,,,
06-03-2019,4,,,,,,,,
06-04-2019,3,,,,,,,,
06-05-2019,4,,,,,,,,
06-06-2019,1,,,,,,,,
06-07-2019,3,,,,,,,,
06-08-2019,0,,,,,,,,
06-09-2019,1,,,,,,,,
06-10-2019,3,,,,,,,,
06-11-2019,4,,,,,,,,
06-12-2019,1,,,,,,,,
6/13/19,1,,,,,,,,
6/14/19,1,,,,,,,,
6/15/19,2,,,,,,,,
6/16/19,0,,,,,,,,
6/17/19,1,,,,,,,,
6/18/19,3,,,,,,,,
6/19/19,5,,,,,,,,
6/20/19,1,,,,,,,,
6/21/19,4,,,,,,,,
6/22/19,1,,,,,,,,
6/23/19,0,,,,,,,,
6/24/19,3,,,,,,,,
6/25/19,1,,,,,,,,
6/26/19,2,,,,,,,,
6/27/19,0,,,,,,,,
6/28/19,2,,,,,,,,
6/29/19,1,,,,,,,,
6/30/19,0,,,,,,,,
07-01-2019,4,,,,,,,,
07-02-2019,2,,,,,,,,
07-03-2019,1,,,,,,,,
07-04-2019,0,,,,,,,,
07-05-2019,0,,,,,,,,
07-06-2019,0,,,,,,,,
07-07-2019,0,,,,,,,,
07-08-2019,2,,,,,,,,
07-09-2019,1,,,,,,,,
07-10-2019,1,,,,,,,,
07-11-2019,0,,,,,,,,
07-12-2019,1,,,,,,,,
7/13/19,0,,,,,,,,
7/14/19,0,,,,,,,,
7/15/19,1,,,,,,,,
7/16/19,3,,,,,,,,
7/17/19,1,,,,,,,,
7/18/19,0,,,,,,,,
7/19/19,1,,,,,,,,
7/20/19,0,,,,,,,,
7/21/19,0,,,,,,,,
7/22/19,6,,,,,,,,
7/23/19,3,,,,,,,,
7/24/19,0,,,,,,,,
7/25/19,2,,,,,,,,
7/26/19,4,,,,,,,,
7/27/19,0,,,,,,,,
7/28/19,0,,,,,,,,
7/29/19,4,,,,,,,,
7/30/19,2,,,,,,,,
7/31/19,0,,,,,,,,
08-01-2019,0,,,,,,,,
08-02-2019,3,,,,,,,,
08-03-2019,0,,,,,,,,
08-04-2019,1,,,,,,,,
08-05-2019,1,,,,,,,,
08-06-2019,5,,,,,,,,
08-07-2019,4,,,,,,,,
08-08-2019,1,,,,,,,,
08-09-2019,5,,,,,,,,
08-10-2019,3,,,,,,,,
08-11-2019,1,,,,,,,,
08-12-2019,4,,,,,,,,
8/13/19,5,,,,,,,,
8/14/19,3,,,,,,,,
8/15/19,1,,,,,,,,
8/16/19,2,,,,,,,,
8/17/19,0,,,,,,,,
8/18/19,0,,,,,,,,
8/19/19,0,,,,,,,,
8/20/19,3,,,,,,,,
8/21/19,3,,,,,,,,
8/22/19,1,,,,,,,,
8/23/19,0,,,,,,,,
8/24/19,1,,,,,,,,
8/25/19,2,,,,,,,,
8/26/19,2,,,,,,,,
8/27/19,4,,,,,,,,
8/28/19,3,,,,,,,,
8/29/19,0,,,,,,,,
8/30/19,1,,,,,,,,
8/31/19,4,,,,,,,,
,691,,,,,,,,
